Country,Happiness score,,,,,
Denmark,7.526,,,,,
Switzerland,7.509,,,,,
Iceland,7.501,,,,,
Norway,7.498,,,,,
Finland,7.413,,,,,
Canada,7.404,,,,,
Netherlands,7.339,,,,,
New Zealand,7.334,,,,,
Australia,7.313,,,,,
Sweden,7.291,,,,,
Israel,7.267,,,,,
Austria,7.119,,,,,
United States,7.104,,,,,
Costa Rica,7.087,,,,,
Puerto Rico,7.039,,,,,
Germany,6.994,,,,,
Brazil,6.952,,,,,
Belgium,6.929,,,,,
Ireland,6.907,,,,,
Luxembourg,6.871,,,,,
Mexico,6.778,,,,,
Singapore,6.739,,,,,
United Kingdom,6.725,,,,,
Chile,6.705,,,,,
Panama,6.701,,,,,
Argentina,6.650,,,,,
Czech Republic,6.596,,,,,
United Arab Emirates,6.573,,,,,
Uruguay,6.545,,,,,
Malta,6.488,,,,,
Colombia,6.481,,,,,
France,6.478,,,,,
Thailand,6.474,,,,,
Saudi Arabia,6.379,,,,,
Taiwan,6.379,,,,,
Qatar,6.375,,,,,
Spain,6.361,,,,,
Algeria,6.355,,,,,
Guatemala,6.324,,,,,
Suriname,6.269,,,,,
Kuwait,6.239,,,,,
Bahrain,6.218,,,,,
Trinidad and Tobago,6.168,,,,,
Venezuela,6.084,,,,,
Slovakia,6.078,,,,,
El Salvador,6.068,,,,,
Malaysia,6.005,,,,,
Nicaragua,5.992,,,,,
Uzbekistan,5.987,,,,,
Italy,5.977,,,,,
Ecuador,5.976,,,,,
Belize,5.956,,,,,
Japan,5.921,,,,,
Kazakhstan,5.919,,,,,
Moldova,5.897,,,,,
Russia,5.856,,,,,
Poland,5.835,,,,,
South Korea,5.835,,,,,
Bolivia,5.822,,,,,
Lithuania,5.813,,,,,
Belarus,5.802,,,,,
North Cyprus,5.771,,,,,
Slovenia,5.768,,,,,
Peru,5.743,,,,,
Turkmenistan,5.658,,,,,
Mauritius,5.648,,,,,
Libya,5.615,,,,,
Latvia,5.560,,,,,
Cyprus,5.546,,,,,
Paraguay,5.538,,,,,
Romania,5.528,,,,,
Estonia,5.517,,,,,
Jamaica,5.510,,,,,
Croatia,5.488,,,,,
Hong Kong,5.458,,,,,
Somalia,5.440,,,,,
Kosovo,5.401,,,,,
Turkey,5.389,,,,,
Indonesia,5.314,,,,,
Jordan,5.303,,,,,
Azerbaijan,5.291,,,,,
Philippines,5.279,,,,,
China,5.245,,,,,
Bhutan,5.196,,,,,
Kyrgyzstan,5.185,,,,,
Serbia,5.177,,,,,
Bosnia and Herzegovina,5.163,,,,,
Montenegro,5.161,,,,,
Dominican Republic,5.155,,,,,
Morocco,5.151,,,,,
Hungary,5.145,,,,,
Pakistan,5.132,,,,,
Lebanon,5.129,,,,,
Portugal,5.123,,,,,
Macedonia,5.121,,,,,
Vietnam,5.061,,,,,
Somaliland region,5.057,,,,,
Tunisia,5.045,,,,,
Greece,5.033,,,,,
Tajikistan,4.996,,,,,
Mongolia,4.907,,,,,
Laos,4.876,,,,,
Nigeria,4.875,,,,,
Honduras,4.871,,,,,
Iran,4.813,,,,,
Zambia,4.795,,,,,
Nepal,4.793,,,,,
Palestinian Territories,4.754,,,,,
Albania,4.655,,,,,
Bangladesh,4.643,,,,,
Sierra Leone,4.635,,,,,
Iraq,4.575,,,,,
Namibia,4.574,,,,,
Cameroon,4.513,,,,,
Ethiopia,4.508,,,,,
South Africa,4.459,,,,,
Sri Lanka,4.415,,,,,
India,4.404,,,,,
Myanmar,4.395,,,,,
Egypt,4.362,,,,,
Armenia,4.360,,,,,
Kenya,4.356,,,,,
Ukraine,4.324,,,,,
Ghana,4.276,,,,,
Congo (Kinshasa),4.272,,,,,
Georgia,4.252,,,,,
Congo (Brazzaville),4.236,,,,,
Senegal,4.219,,,,,
Bulgaria,4.217,,,,,
Mauritania,4.201,,,,,
Zimbabwe,4.193,,,,,
Malawi,4.156,,,,,
Sudan,4.139,,,,,
Gabon,4.121,,,,,
Mali,4.073,,,,,
Haiti,4.028,,,,,
Botswana,3.974,,,,,
Comoros,3.956,,,,,
Ivory Coast,3.916,,,,,
Cambodia,3.907,,,,,
Angola,3.866,,,,,
Niger,3.856,,,,,
South Sudan,3.832,,,,,
Chad,3.763,,,,,
Burkina Faso,3.739,,,,,
Uganda,3.739,,,,,
Yemen,3.724,,,,,
Madagascar,3.695,,,,,
Tanzania,3.666,,,,,
Liberia,3.622,,,,,
Guinea,3.607,,,,,
Rwanda,3.515,,,,,
Benin,3.484,,,,,
Afghanistan,3.360,,,,,
Togo,3.303,,,,,
Syria,3.069,,,,,
Burundi,2.905,,,,,
