Country of Origin,Number of People,,,,
 United Kingdom,1207050,,,,
 New Zealand,611380,,,,
 People's Republic of China,481820,,,,
 India,432690,,,,
 Philippines,236400,,,,
 Vietnam,230170,,,,
 Italy,198230,,,,
 South Africa,178680,,,,
 Malaysia,156460,,,,
 Germany,125880,,,,
 Greece,118460,,,,
 Sri Lanka,114370,,,,
 United States,102730,,,,
 South Korea,102570,,,,
 Hong Kong,94460,,,,
 Lebanon,92870,,,,
 Ireland,88700,,,,
 Netherlands,83760,,,,
 Indonesia,80970,,,,
 Fiji,71040,,,,
 Singapore,69220,,,,
 Iraq,68180,,,,
 Thailand,67070,,,,
 Croatia,64370,,,,
 Pakistan,57470,,,,
 Poland,55460,,,,
 Japan,55370,,,,
 Taiwan,55110,,,,
 Iran,53510,,,,
 Canada,50490,,,,
 Macedonia,50160,,,,
 Malta,45030,,,,
 Egypt,44570,,,,
   Nepal,43540,,,,
 Afghanistan,43200,,,,
 Bangladesh,40860,,,,
 Turkey,40290,,,,
 France,39120,,,,
 Bosnia and Herzegovina,38490,,,,
 Zimbabwe,38380,,,,
 Cambodia,35920,,,,
 Serbia,34070,,,,
 Papua New Guinea,33130,,,,
 Myanmar,31040,,,,
 Chile,29910,,,,
 Samoa,28540,,,,
 Mauritius,27340,,,,
 Brazil,24810,,,,
 Russia,24470,,,,
 Sudan,23380,,,,
 Hungary,21240,,,,
 Cyprus,20550,,,,
