Country,year1,Agricultural water withdrawal (10^9 m3/year),year2,Industrial water withdrawal (10^9 m3/year),year3,Municipal water withdrawal (10^9 m3/year),year4,Total water withdrawal (10^9 m3/year),year5,Total water withdrawal per capita (m3/inhab/year)
Algeria,2012,4.99,2012,0.415,2012,3.02,2012,8.425,2012,225
Angola,2005,0.1467,2005,0.2396,2005,0.3195,2005,0.7058,2005,36.79
Benin,2001,0.059,2001,0.03,2001,0.041,2001,0.13,2001,17.53
Botswana,2000,0.08,2005,0.0389,2005,0.0878,2000,0.194,2000,108.6
Burkina Faso,2005,0.4207,2005,0.0217,2005,0.3756,2005,0.818,2005,57.35
Burundi,2000,0.222,2005,0.015,2005,0.0431,2000,0.288,2000,40.22
Cabo Verde,2004,0.025,2001,4.00E-04,2001,0.0016,2001,0.022,2001,48.31
Cameroon,2000,0.737,2005,0.1046,2005,0.2468,2000,0.9664,2000,57.6
Central African Republic,2005,4.00E-04,2005,0.012,2005,0.0601,2005,0.0725,2005,17.25
Chad,2005,0.6722,2005,0.1037,2005,0.1037,2005,0.8796,2005,81.6
Comoros,1999,0.0047,1999,5.00E-04,1999,0.0048,1999,0.01,1999,17.38
Congo,2002,0.004,2005,0.024,2005,0.0637,2002,0.046,2002,14.12
Côte d'Ivoire,2008,0.5953,2005,0.318,2005,0.6359,2005,1.549,2005,82.12
Democratic Republic of the Congo,2005,0.0719,2005,0.1468,2005,0.4649,2005,0.6836,2005,11.42
Djibouti,2000,0.003,2000,0,2000,0.016,2000,0.019,2000,25.49
Egypt,2010,67,2010,2,2010,9,2010,78,2010,910.6
Equatorial Guinea,2000,0.001,2005,0.003,2005,0.0158,2000,0.0174,2000,30.65
Eritrea,2004,0.55,2004,0.001,2004,0.031,2004,0.582,2004,132.1
Ethiopia,2002,5.204,2005,0.0511,2005,0.81,2002,5.558,2002,78.96
Gabon,2005,0.0403,2005,0.0141,2005,0.0847,2005,0.1391,2005,96.53
Gambia,1999,0.0392,2005,0.0212,2005,0.0412,2000,0.0905,2000,69.19
Ghana,2000,0.652,2000,0.095,2000,0.235,2000,0.982,2000,49.63
Guinea,2001,0.2929,2005,0.0562,2005,0.2248,2001,0.5533,2001,60.71
Guinea-Bissau,2000,0.144,2005,0.0119,2005,0.0341,2000,0.175,2000,127.6
Kenya,2010,1.907,2010,0.125,2010,1.186,2010,3.218,2010,75.64
